Time(s),File,Token Count
7,/small.c,93032
22,/small.c,85481
25,/small.c,72090
27,/small.c,64826
29,/small.c,59280
31,/small.c,59533
34,/small.c,40108
35,/small.c,38688
36,/small.c,37467
37,/small.c,37222
38,/small.c,36025
38,/small.c,36054
39,/small.c,35081
40,/small.c,34701
41,/small.c,33408
41,/small.c,33178
42,/small.c,33176
43,/small.c,33212
45,/small.c,33220
45,/small.c,33057
46,/small.c,32518
47,/small.c,32301
48,/small.c,32273
48,/small.c,32127
49,/small.c,31833
50,/small.c,31720
51,/small.c,4165
52,/small.c,4086
52,/small.c,4025
53,/small.c,3943
53,/small.c,3937
54,/small.c,3880
54,/small.c,3786
57,/small.c,3687
57,/small.c,3669
59,/small.c,3668
61,/small.c,3614
61,/small.c,3507
63,/small.c,3359
63,/small.c,3331
64,/small.c,3317
68,/small.c,3374
68,/small.c,3370
69,/small.c,3364
70,/small.c,3357
71,/small.c,3345
71,/small.c,3333
72,/small.c,3319
73,/small.c,3315
73,/small.c,3306
74,/small.c,3298
75,/small.c,3290
75,/small.c,3282
76,/small.c,3268
80,/small.c,3266
81,/small.c,3253
81,/small.c,3249
82,/small.c,3243
83,/small.c,3236
83,/small.c,3229
84,/small.c,3222
85,/small.c,3215
85,/small.c,3208
87,/small.c,3194
89,/small.c,3123
90,/small.c,3048
90,/small.c,3029
91,/small.c,3018
92,/small.c,2989
92,/small.c,2985
93,/small.c,2877
94,/small.c,2875
95,/small.c,2735
95,/small.c,2732
96,/small.c,2725
96,/small.c,2709
97,/small.c,2701
98,/small.c,2695
98,/small.c,2694
99,/small.c,2690
100,/small.c,2559
100,/small.c,2551
101,/small.c,2548
102,/small.c,2524
103,/small.c,2475
104,/small.c,2475
104,/small.c,2439
105,/small.c,2438
105,/small.c,1701
106,/small.c,1691
106,/small.c,1682
106,/small.c,1677
108,/small.c,1682
109,/small.c,1657
110,/small.c,1657
110,/small.c,1766
111,/small.c,1767
111,/small.c,1780
114,/small.c,1774
115,/small.c,1634
115,/small.c,1427
116,/small.c,1460
116,/small.c,1408
117,/small.c,1402
118,/small.c,1405
118,/small.c,1390
121,/small.c,1263
122,/small.c,1251
123,/small.c,1245
123,/small.c,1223
124,/small.c,1202
125,/small.c,1196
125,/small.c,1112
126,/small.c,1100
127,/small.c,1092
128,/small.c,1085
129,/small.c,1081
130,/small.c,1079
131,/small.c,1072
132,/small.c,1070
132,/small.c,1068
133,/small.c,1058
134,/small.c,1051
139,/small.c,1051
143,/small.c,836
144,/small.c,819
145,/small.c,809
145,/small.c,764
146,/small.c,670
