Time(s),File,Token Count
4,/small.c,32958
10,/small.c,28160
11,/small.c,25327
13,/small.c,23860
13,/small.c,25142
15,/small.c,24779
16,/small.c,24666
16,/small.c,24690
17,/small.c,24560
17,/small.c,24301
18,/small.c,23424
18,/small.c,23093
19,/small.c,23449
19,/small.c,23981
20,/small.c,24437
21,/small.c,24406
21,/small.c,24333
22,/small.c,24183
22,/small.c,24094
23,/small.c,23904
23,/small.c,23822
24,/small.c,23793
24,/small.c,23782
25,/small.c,23773
26,/small.c,23752
26,/small.c,23753
28,/small.c,23727
28,/small.c,23728
29,/small.c,23582
30,/small.c,23556
31,/small.c,23558
32,/small.c,23549
33,/small.c,21749
33,/small.c,21748
36,/small.c,22049
37,/small.c,21962
38,/small.c,21799
38,/small.c,21595
39,/small.c,21600
39,/small.c,21340
41,/small.c,21338
41,/small.c,21387
42,/small.c,21343
43,/small.c,21326
44,/small.c,21309
45,/small.c,21247
47,/small.c,21408
48,/small.c,21436
48,/small.c,21379
49,/small.c,21357
49,/small.c,21300
50,/small.c,17462
50,/small.c,17462
51,/small.c,17457
51,/small.c,17454
52,/small.c,17549
52,/small.c,17484
53,/small.c,17482
53,/small.c,17447
54,/small.c,17390
54,/small.c,13076
54,/small.c,13076
55,/small.c,13073
55,/small.c,13061
55,/small.c,13023
56,/small.c,13131
56,/small.c,13267
59,/small.c,13269
59,/small.c,13163
59,/small.c,13057
60,/small.c,13050
61,/small.c,13138
61,/small.c,13245
62,/small.c,13244
62,/small.c,13332
63,/small.c,13320
64,/small.c,13320
65,/small.c,13286
65,/small.c,11545
66,/small.c,9285
66,/small.c,9141
67,/small.c,9067
67,/small.c,9005
68,/small.c,8989
68,/small.c,8223
68,/small.c,8214
69,/small.c,8314
69,/small.c,7963
70,/small.c,7893
70,/small.c,7824
71,/small.c,7402
72,/small.c,7391
72,/small.c,7005
73,/small.c,6779
73,/small.c,6373
74,/small.c,6221
74,/small.c,6007
74,/small.c,5971
74,/small.c,5967
75,/small.c,5960
75,/small.c,5956
76,/small.c,2661
76,/small.c,2649
77,/small.c,2558
77,/small.c,2187
77,/small.c,2181
78,/small.c,2161
78,/small.c,2060
79,/small.c,2012
79,/small.c,1998
80,/small.c,1979
80,/small.c,1817
80,/small.c,1619
81,/small.c,1618
81,/small.c,1460
81,/small.c,1441
82,/small.c,1439
83,/small.c,1454
83,/small.c,1447
84,/small.c,1446
85,/small.c,1446
86,/small.c,1430
86,/small.c,1417
86,/small.c,1406
87,/small.c,1393
88,/small.c,1411
88,/small.c,1123
92,/small.c,1117
92,/small.c,1108
